scheme,model,scan_rule,direction,tau,calibration_clips,calibration_groups,shared_source_groups,fitting_visited_count,fitting_visited_errors,fitting_actual_count,fitting_actual_errors,fitting_actual_risk,fitting_tie_expansion,fitting_actual_meets_target,clips,source_groups,N,B,A,E,admitted_clips,zero_retained_clips,risk_pass_clips,joint_pass_clips,high_risk_clips,under_half_coverage_clips,pooled_risk,pooled_risk_ci_lower,pooled_risk_ci_upper,pooled_risk_bootstrap_valid,retention,retention_ci_lower,retention_ci_upper,retention_bootstrap_valid,joint_fraction,joint_fraction_ci_lower,joint_fraction_ci_upper,joint_fraction_bootstrap_valid,compliance_admitted,compliance_admitted_ci_lower,compliance_admitted_ci_upper,compliance_admitted_bootstrap_valid,mean_clip_risk,mean_clip_risk_ci_lower,mean_clip_risk_ci_upper,mean_clip_risk_bootstrap_valid,fitting
historical_clip,Combined,prefix,A,0.899815,87,57,41,214835,21483,214835,21483,0.0999976726324854,0,True,86,53,232272,49141,203887,20756,86,0,63,63,23,7,0.10180148807918112,0.06687797720545495,0.1491028404829585,2000,0.8777941379072811,0.8165424141845639,0.9244307721368382,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.1576705532218167,0.09350531942730866,0.24050709639079426,2000,
historical_clip,Combined,prefix,B,0.8909590000000001,86,53,41,203478,20347,203478,20347,0.09999606837102783,0,True,87,57,241200,47848,214440,21088,87,0,64,64,23,6,0.09833986196605111,0.062231874308583214,0.13908846643154432,2000,0.8890547263681592,0.8312053730051295,0.9382847354287254,2000,0.735632183908046,0.6172839506172839,0.8505747126436781,2000,0.735632183908046,0.6172839506172839,0.8505747126436781,2000,0.135605478559474,0.08033364071028691,0.19862415865788946,2000,
historical_clip,Combined,prefix,both,,,,,,,,,,,,173,69,473472,96989,418327,41844,173,0,127,127,46,13,0.10002701236114332,0.06513999434581452,0.14534563047617716,2000,0.8835305994863477,0.8253259414108401,0.9283379179668982,2000,0.7341040462427746,0.6242365579670629,0.8333556149732619,2000,0.7341040462427746,0.6242365579670629,0.8333556149732619,2000,0.14657424399855765,0.08859866231815612,0.21857888731691577,2000,
historical_clip,Combined,full_tie_groups,A,0.899815,87,57,41,214835,21483,214835,21483,0.0999976726324854,0,True,86,53,232272,49141,203887,20756,86,0,63,63,23,7,0.10180148807918112,0.06687797720545495,0.1491028404829585,2000,0.8777941379072811,0.8165424141845639,0.9244307721368382,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.7325581395348837,0.608680963572268,0.8400106382978723,2000,0.1576705532218167,0.09350531942730866,0.24050709639079426,2000,
historical_clip,Combined,full_tie_groups,B,0.8909590000000001,86,53,41,203478,20347,203478,20347,0.09999606837102783,0,True,87,57,241200,47848,214440,21088,87,0,64,64,23,6,0.09833986196605111,0.062231874308583214,0.13908846643154432,2000,0.8890547263681592,0.8312053730051295,0.9382847354287254,2000,0.735632183908046,0.6172839506172839,0.8505747126436781,2000,0.735632183908046,0.6172839506172839,0.8505747126436781,2000,0.135605478559474,0.08033364071028691,0.19862415865788946,2000,
historical_clip,Combined,full_tie_groups,both,,,,,,,,,,,,173,69,473472,96989,418327,41844,173,0,127,127,46,13,0.10002701236114332,0.06513999434581452,0.14534563047617716,2000,0.8835305994863477,0.8253259414108401,0.9283379179668982,2000,0.7341040462427746,0.6242365579670629,0.8333556149732619,2000,0.7341040462427746,0.6242365579670629,0.8333556149732619,2000,0.14657424399855765,0.08859866231815612,0.21857888731691577,2000,
historical_clip,PraNet,prefix,A,0.897817,87,57,41,104777,10477,104777,10477,0.09999331914446873,0,True,86,53,116136,26299,99628,9791,86,0,63,63,23,10,0.09827558517685792,0.06536344571812534,0.14255320718791653,2000,0.8578563063993938,0.7866232384338369,0.9126183783064407,2000,0.7325581395348837,0.6025602409638554,0.8421200473092844,2000,0.7325581395348837,0.6025602409638554,0.8421200473092844,2000,0.166135275526893,0.09789582844275042,0.2532729629985104,2000,
historical_clip,PraNet,prefix,B,0.905745,86,53,41,99818,9981,99818,9981,0.09999198541345249,0,True,87,57,120600,26300,104973,10673,87,0,62,62,25,7,0.10167376372972098,0.06687998763305503,0.1412995856442576,2000,0.8704228855721393,0.7994484328107854,0.9284843089766681,2000,0.7126436781609196,0.5921052631578947,0.8295514990328821,2000,0.7126436781609196,0.5921052631578947,0.8295514990328821,2000,0.1476352258760543,0.08822571058780593,0.21914395737146422,2000,
historical_clip,PraNet,prefix,both,,,,,,,,,,,,173,69,236736,52599,204601,20464,173,0,125,125,48,17,0.10001906149041305,0.06742562388934424,0.1431212045273412,2000,0.8642580765071641,0.7943591602550765,0.9163046202926666,2000,0.7225433526011561,0.6104651162790697,0.8228649825783971,2000,0.7225433526011561,0.6104651162790697,0.8228649825783971,2000,0.15683178234988157,0.09645755780151781,0.23321308631632634,2000,
historical_clip,PraNet,full_tie_groups,A,0.897817,87,57,41,104777,10477,104777,10477,0.09999331914446873,0,True,86,53,116136,26299,99628,9791,86,0,63,63,23,10,0.09827558517685792,0.06536344571812534,0.14255320718791653,2000,0.8578563063993938,0.7866232384338369,0.9126183783064407,2000,0.7325581395348837,0.6025602409638554,0.8421200473092844,2000,0.7325581395348837,0.6025602409638554,0.8421200473092844,2000,0.166135275526893,0.09789582844275042,0.2532729629985104,2000,
