model,allocation,tie_rule,score,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
Combined,global,identity,negative_area_fraction,case51_5,case51,2400,221,2236,57,0.025491949910554562,0.9316666666666666,True,True,True,False,0.025491949910554562
Combined,global,identity,negative_area_fraction,case51_7,case51,2144,560,1631,47,0.028816676885346414,0.7607276119402985,True,True,True,False,0.028816676885346414
Combined,global,identity,negative_area_fraction,case51_9,case51,2400,617,2231,448,0.2008068130883012,0.9295833333333333,False,True,False,False,0.2008068130883012
Combined,global,identity,negative_area_fraction,case54_1,case54,3376,1710,1831,165,0.09011469142545057,0.5423578199052133,True,True,True,False,0.09011469142545057
Combined,global,identity,negative_area_fraction,case56_1,case56,2400,126,2324,50,0.021514629948364887,0.9683333333333334,True,True,True,False,0.021514629948364887
Combined,global,identity,negative_area_fraction,case5_4,case5,2400,19,2391,10,0.004182350480970306,0.99625,True,True,True,False,0.004182350480970306
Combined,global,identity,negative_area_fraction,case60,case60,2336,1658,1350,672,0.49777777777777776,0.5779109589041096,False,True,False,False,0.49777777777777776
Combined,global,identity,negative_area_fraction,case61_3,case61,3536,203,3429,96,0.02799650043744532,0.9697398190045249,True,True,True,False,0.02799650043744532
Combined,global,identity,negative_area_fraction,case63_3,case63,2768,68,2728,28,0.010263929618768328,0.9855491329479769,True,True,True,False,0.010263929618768328
Combined,global,identity,negative_area_fraction,case66_2,case66,5168,18,5162,12,0.002324680356450988,0.9988390092879257,True,True,True,False,0.002324680356450988
Combined,global,identity,negative_area_fraction,case66_4,case66,3776,0,3776,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,negative_area_fraction,case66_6,case66,2144,0,2144,0,0.0,1.0,True,True,True,False,0.0
Combined,global,identity,negative_area_fraction,case66_9,case66,3200,8,3194,2,0.0006261740763932373,0.998125,True,True,True,False,0.0006261740763932373
Combined,global,identity,negative_area_fraction,case68_1,case68,2624,238,2522,136,0.05392545598731166,0.9611280487804879,True,True,True,False,0.05392545598731166
Combined,global,identity,negative_area_fraction,case68_3,case68,2608,584,2274,250,0.10993843447669305,0.8719325153374233,True,True,True,False,0.10993843447669305
Combined,global,identity,negative_area_fraction,case68_5,case68,2400,109,2368,77,0.03251689189189189,0.9866666666666667,True,True,True,False,0.03251689189189189
Combined,global,identity,negative_area_fraction,case68_7,case68,3680,686,3217,223,0.0693192415293752,0.8741847826086957,True,True,True,False,0.0693192415293752
