scheme,model,scan_rule,direction,tau,clip,source_group,N,B,A,E,risk,retention,risk_pass,coverage_pass,joint_pass,zero_retained,count_lower_bound
historical_clip,Combined,full_tie_groups,A,0.899815,case66_2,case66,5168,18,5165,15,0.002904162633107454,0.9994195046439629,True,True,True,False,0.002904162633107454
historical_clip,Combined,full_tie_groups,A,0.899815,case66_4,case66,3776,0,3776,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,A,0.899815,case66_6,case66,2144,0,2144,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,A,0.899815,case66_9,case66,3200,8,3195,3,0.0009389671361502347,0.9984375,True,True,True,False,0.0009389671361502347
historical_clip,Combined,full_tie_groups,A,0.899815,case68_1,case68,2624,238,2562,176,0.06869633099141297,0.9763719512195121,True,True,True,False,0.06869633099141297
historical_clip,Combined,full_tie_groups,A,0.899815,case68_3,case68,2608,584,2369,345,0.14563106796116504,0.9083588957055214,True,True,True,False,0.14563106796116504
historical_clip,Combined,full_tie_groups,A,0.899815,case68_5,case68,2400,109,2377,86,0.0361800588977703,0.9904166666666666,True,True,True,False,0.0361800588977703
historical_clip,Combined,full_tie_groups,A,0.899815,case68_7,case68,3680,686,3348,354,0.1057347670250896,0.9097826086956522,True,True,True,False,0.1057347670250896
historical_clip,Combined,full_tie_groups,A,0.899815,case6_3,case6,3360,3132,856,628,0.7336448598130841,0.25476190476190474,False,False,False,False,0.7336448598130841
historical_clip,Combined,full_tie_groups,A,0.899815,case71_1,case71,2048,647,1698,297,0.17491166077738515,0.8291015625,False,True,False,False,0.17491166077738515
historical_clip,Combined,full_tie_groups,A,0.899815,case71_5,case71,3616,89,3553,26,0.007317759639741064,0.9825774336283186,True,True,True,False,0.007317759639741064
historical_clip,Combined,full_tie_groups,A,0.899815,case72_3,case72,1664,0,1664,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,A,0.899815,case74_1,case74,2512,1111,1796,395,0.21993318485523386,0.714968152866242,False,True,False,False,0.21993318485523386
historical_clip,Combined,full_tie_groups,A,0.899815,case75_1,case75,2400,343,2150,93,0.04325581395348837,0.8958333333333334,True,True,True,False,0.04325581395348837
historical_clip,Combined,full_tie_groups,A,0.899815,case7_2,case7,2096,98,2039,41,0.020107896027464444,0.9728053435114504,True,True,True,False,0.020107896027464444
historical_clip,Combined,full_tie_groups,A,0.899815,case80_2,case80,2400,11,2394,5,0.0020885547201336674,0.9975,True,True,True,False,0.0020885547201336674
historical_clip,Combined,full_tie_groups,A,0.899815,case80_4,case80,2400,0,2400,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,A,0.899815,case80_6,case80,2400,0,2400,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,A,0.899815,case80_8,case80,2320,6,2317,3,0.001294777729823047,0.9987068965517242,True,True,True,False,0.001294777729823047
historical_clip,Combined,full_tie_groups,A,0.899815,case81_2,case81,4384,119,4291,26,0.006059193661151247,0.978786496350365,True,True,True,False,0.006059193661151247
historical_clip,Combined,full_tie_groups,A,0.899815,case83_3,case83,2144,0,2144,0,0.0,1.0,True,True,True,False,0.0
historical_clip,Combined,full_tie_groups,A,0.899815,case85_7,case85,2400,1069,1701,370,0.2175191064079953,0.70875,False,True,False,False,0.2175191064079953
historical_clip,Combined,full_tie_groups,A,0.899815,case86_1,case86,2400,199,2236,35,0.015652951699463326,0.9316666666666666,True,True,True,False,0.015652951699463326
historical_clip,Combined,full_tie_groups,A,0.899815,case89,case89,2384,264,2370,250,0.10548523206751055,0.9941275167785235,True,True,True,False,0.10548523206751055
