model_group,clip_id,total_observations,failures_before,retained_observations,retained_failures,minimum_risk_at_same_clip_retention,rejected_failures,rejected_observations,in_reference_failure_set
PraNet,case14_6,1600,1578,394,372,0.9441624365482234,1206,1206,True
PraNet,case1_2,1728,3,1725,0,0.0,3,3,False
PraNet,case20_7,1360,474,1099,213,0.19381255686988172,261,261,False
PraNet,case20_9,1200,300,998,98,0.09819639278557114,202,202,False
PraNet,case24_1,1200,172,1178,150,0.1273344651952462,22,22,False
PraNet,case24_3,1216,0,1216,0,0.0,0,0,False
PraNet,case24_5,1200,49,1188,37,0.031144781144781145,12,12,False
PraNet,case25_2,1088,77,1063,52,0.04891815616180621,25,25,False
PraNet,case29_1,1712,260,1577,125,0.07926442612555486,135,135,False
PraNet,case2_3,1200,0,1200,0,0.0,0,0,False
PraNet,case2_6,792,0,792,0,0.0,0,0,False
PraNet,case2_9,896,0,896,0,0.0,0,0,False
PraNet,case31,1464,50,1461,47,0.03216974674880219,3,3,False
PraNet,case32_2,800,6,800,6,0.0075,0,0,False
PraNet,case32_4,1480,280,1371,171,0.12472647702407003,109,109,False
PraNet,case32_6,1368,16,1360,8,0.0058823529411764705,8,8,False
PraNet,case34_2,992,19,991,18,0.018163471241170535,1,1,False
PraNet,case35_2,720,0,720,0,0.0,0,0,False
PraNet,case35_8,928,141,912,125,0.13706140350877194,16,16,False
PraNet,case36_2,1200,886,843,529,0.627520759193357,357,357,True
PraNet,case36_4,1024,1002,790,768,0.9721518987341772,234,234,True
PraNet,case37_2,1272,115,1232,75,0.060876623376623376,40,40,False
PraNet,case38_2,2032,677,1651,296,0.17928528164748636,381,381,False
PraNet,case39_2,2160,363,2028,231,0.11390532544378698,132,132,False
PraNet,case3_1,1584,219,1475,110,0.07457627118644068,109,109,False
PraNet,case40,1272,401,1007,136,0.13505461767626614,265,265,False
PraNet,case43,2080,165,1944,29,0.014917695473251029,136,136,False
PraNet,case47_2,1200,65,1167,32,0.027420736932305057,33,33,False
PraNet,case47_4,1064,0,1064,0,0.0,0,0,False
PraNet,case48,1408,382,1158,132,0.11398963730569948,250,250,False
PraNet,case50_2,1200,9,1200,9,0.0075,0,0,False
PraNet,case50_4,1896,162,1845,111,0.06016260162601626,51,51,False
PraNet,case51_10,1744,44,1740,40,0.022988505747126436,4,4,False
PraNet,case51_3,1680,209,1582,111,0.07016434892541087,98,98,False
PraNet,case51_5,1200,115,1136,51,0.0448943661971831,64,64,False
PraNet,case51_7,1072,278,849,55,0.06478209658421673,223,223,False
PraNet,case51_9,1200,263,1159,222,0.1915444348576359,41,41,False
PraNet,case54_1,1688,865,976,153,0.1567622950819672,712,712,True
PraNet,case56_1,1200,75,1171,46,0.03928266438941076,29,29,False
PraNet,case5_4,1200,18,1195,13,0.010878661087866108,5,5,False
PraNet,case60,1168,1043,572,447,0.7814685314685315,596,596,True
PraNet,case61_3,1768,71,1739,42,0.024151811385853938,29,29,False
PraNet,case63_3,1384,51,1365,32,0.023443223443223443,19,19,False
PraNet,case66_2,2584,16,2581,13,0.005036807438977141,3,3,False
PraNet,case66_4,1888,0,1888,0,0.0,0,0,False
PraNet,case66_6,1072,0,1072,0,0.0,0,0,False
PraNet,case66_9,1600,8,1595,3,0.0018808777429467085,5,5,False
PraNet,case68_1,1312,80,1303,71,0.05448963929393707,9,9,False
PraNet,case68_3,1304,208,1225,129,0.10530612244897959,79,79,False
